Date,Open,High,Low,Close,Volume
2023-03-23,179.23,181.11,178.34,180.34,17200
2023-03-24,180.34,182.56,179.45,181.23,16000
2023-03-25,181.23,183.78,180.56,182.34,15800
2023-03-26,182.34,184.89,181.45,183.45,17400
2023-03-27,183.45,185.67,182.23,184.56,17300
2023-03-28,184.56,186.23,183.12,185.34,16900
2023-03-29,185.34,187.11,184.45,186.22,17100
2023-03-30,186.22,188.32,185.56,187.11,16200
2023-03-31,187.11,189.45,186.34,188.23,17000
2023-04-01,188.23,190.56,187.45,189.11,16500
2023-04-02,189.11,191.78,188.34,190.23,17200
2023-04-03,190.23,192.11,189.56,191.34,16800
2023-04-04,191.34,193.56,190.67,192.45,17100
2023-04-05,192.45,194.78,191.23,193.56,16500
2023-04-06,193.56,195.67,192.11,194.45,17300
2023-04-07,194.45,196.23,193.34,195.34,16800
2023-04-08,195.34,197.78,194.45,196.23,16000
2023-04-09,196.23,198.34,195.11,197.11,16600
2023-04-10,197.11,199.56,196.34,198.23,17500
2023-04-11,198.23,200.67,197.45,199.34,17400
2023-04-12,199.34,201.78,198.56,200.45,17100
2023-04-13,200.45,202.11,199.67,201.34,17300
2023-04-14,201.34,203.78,200.12,202.45,16800
2023-04-15,202.45,204.89,201.23,203.56,16900
2023-04-16,203.56,205.67,202.34,204.45,16000
2023-04-17,204.45,206.78,203.12,205.34,17000
2023-04-18,205.34,207.23,204.45,206.45,17200
2023-04-19,206.45,208.89,205.67,207.34,16600
2023-04-20,207.34,209.45,206.23,208.45,16200
2023-04-21,208.45,210.56,207.34,209.23,17500
2023-04-22,209.23,211.78,208.45,210.34,17400
2023-04-23,210.34,212.11,209.56,211.23,16800
2023-04-24,211.23,213.56,210.67,212.34,16500
2023-04-25,212.34,214.78,211.12,213.45,17000
2023-04-26,213.45,215.67,212.34,214.56,16900
2023-04-27,214.56,216.78,213.45,215.34,16000
2023-04-28,215.34,217.89,214.56,216.45,16800
2023-04-29,216.45,218.23,215.67,217.34,17400
2023-04-30,217.34,219.56,216.23,218.45,17500
2023-05-01,218.45,220.78,217.45,219.34,17000
2023-05-02,219.34,221.89,218.56,220.23,16900
2023-05-03,220.23,222.11,219.67,221.34,17200
2023-05-04,221.34,223.78,220.12,222.45,16800
2023-05-05,222.45,224.89,221.23,223.56,16100
2023-05-06,223.56,225.67,222.34,224.45,16600
2023-05-07,224.45,226.78,223.12,225.34,17500
2023-05-08,225.34,227.23,224.45,226.45,17000
2023-05-09,226.45,228.89,225.67,227.34,17200
2023-05-10,227.34,229.45,226.23,228.45,16800
2023-05-11,228.45,230.11,227.34,229.23,17300
2023-05-12,229.23,231.78,228.45,230.34,17000
2023-05-13,230.34,232.56,229.12,231.45,16800
2023-05-14,231.45,233.89,230.23,232.56,16000
2023-05-15,232.56,234.78,231.34,233.45,16500
2023-05-16,233.45,235.11,232.56,234.34,17200
2023-05-17,234.34,236.67,233.45,235.23,17400
2023-05-18,235.23,237.56,234.45,236.34,16900
2023-05-19,236.34,238.78,235.56,237.45,16500
2023-05-20,237.45,239.89,236.23,238.34,17000
2023-05-21,238.34,240.56,237.12,239.45,17300
2023-05-22,239.45,241.78,238.23,240.34,17200
2023-05-23,240.34,242.11,239.45,241.23,16500
2023-05-24,241.23,243.78,240.56,242.45,16900
2023-05-25,242.45,244.89,241.34,243.56,17500
2023-05-26,243.56,245.67,242.45,244.45,17000
2023-05-27,244.45,246.23,243.34,245.34,16800
2023-05-28,245.34,247.78,244.23,246.45,16400
2023-05-29,246.45,248.89,245.56,247.34,17100
2023-05-30,247.34,249.45,246.23,248.45,17300
2023-05-31,248.45,250.11,247.34,249.23,17500
2023-06-01,249.23,251.78,248.45,250.34,16800
2023-06-02,250.34,252.56,249.67,251.23,16700
2023-06-03,251.23,253.11,250.45,252.34,17200
2023-06-04,252.34,254.89,251.34,253.45,16900
2023-06-05,253.45,255.67,252.45,254.56,16600
2023-06-06,254.56,256.78,253.34,255.45,16000
2023-06-07,255.45,257.23,254.45,256.34,16800
2023-06-08,256.34,258.11,255.67,257.45,17500
2023-06-09,257.45,259.78,256.12,258.34,17100
2023-06-10,258.34,260.56,257.23,259.45,17000
2023-06-11,259.45,261.89,258.34,260.56,16200
2023-06-12,260.56,262.67,259.45,261.23,16000
2023-06-13,261.23,263.45,260.34,262.45,16400
2023-06-14,262.45,264.89,261.34,263.56,17300
2023-06-15,263.56,265.67,262.45,264.45,16700
2023-06-16,264.45,266.23,263.34,265.34,16500
2023-06-17,265.34,267.78,264.23,266.45,17000
2023-06-18,266.45,268.89,265.56,267.34,17400
2023-06-19,267.34,269.11,266.23,268.45,17200
2023-06-20,268.45,270.56,267.34,269.23,16900
2023-06-21,269.23,271.89,268.45,270.34,16600
2023-06-22,270.34,272.11,269.56,271.23,17000
2023-06-23,271.23,273.78,270.34,272.45,16700
2023-06-24,272.45,274.56,271.34,273.34,16100
2023-06-25,273.34,275.89,272.23,274.45,16800
2023-06-26,274.45,276.23,273.34,275.34,17500
2023-06-27,275.34,277.78,274.23,276.45,16900
2023-06-28,276.45,278.56,275.45,277.34,16500
2023-06-29,277.34,279.89,276.34,278.23,17200
2023-06-30,278.23,280.11,277.45,279.34,17000
2023-07-01,279.34,281.67,278.23,280.45,16400
2023-07-02,280.45,282.89,279.34,281.23,16600
2023-07-03,281.23,283.11,280.45,282.34,16800
2023-07-04,282.34,284.78,281.23,283.45,17300
2023-07-05,283.45,285.56,282.34,284.56,17500
2023-07-06,284.56,286.23,283.45,285.34,17100
2023-07-07,285.34,287.11,284.56,286.45,16500
2023-07-08,286.45,288.78,285.34,287.34,17400
2023-07-09,287.34,289.11,286.45,288.23,17000
2023-07-10,288.23,290.56,287.34,289.34,16700
2023-07-11,289.34,291.78,288.23,290.45,16900
2023-07-12,290.45,292.11,289.34,291.23,17200
2023-07-13,291.23,293.56,290.45,292.34,17000
2023-07-14,292.34,294.89,291.23,293.45,16400
2023-07-15,293.45,295.11,292.34,294.56,16700
2023-07-16,294.56,296.78,293.23,295.34,17300
2023-07-17,295.34,297.23,294.34,296.45,16600
2023-07-18,296.45,298.56,295.34,297.34,16200
2023-07-19,297.34,299.11,296.45,298.23,17000
2023-07-20,298.23,300.78,297.34,299.34,16800
2023-07-21,299.34,301.89,298.23,300.45,17500
2023-07-22,300.45,302.56,299.34,301.23,17000
2023-07-23,301.23,303.11,300.45,302.34,16900
2023-07-24,302.34,304.78,301.23,303.45,17200
2023-07-25,303.45,305.56,302.34,304.56,16600
2023-07-26,304.56,306.23,303.45,305.34,16400
2023-07-27,305.34,307.78,304.23,306.45,16800
2023-07-28,306.45,308.89,305.34,307.34,17300
2023-07-29,307.34,309.11,306.45,308.23,17000
2023-07-30,308.23,310.56,307.34,309.34,16400
2023-07-31,309.34,311.78,308.23,310.45,17100
2023-08-01,310.45,312.89,309.34,311.23,17000
2023-08-02,311.23,313.56,310.45,312.34,16500
2023-08-03,312.34,314.78,311.23,313.45,17400
2023-08-04,313.45,315.11,312.34,314.56,17200
2023-08-05,314.56,316.78,313.45,315.34,16800
2023-08-06,315.34,317.23,314.56,316.45,17000
2023-08-07,316.45,318.56,315.34,317.34,16900
2023-08-08,317.34,319.11,316.45,318.23,16600
2023-08-09,318.23,320.78,317.34,319.34,17500
2023-08-10,319.34,321.56,318.23,320.45,17300
2023-08-11,320.45,322.89,319.34,321.23,17100
2023-08-12,321.23,323.56,320.45,322.34,16900
2023-08-13,322.34,324.78,321.23,323.45,17400
2023-08-14,323.45,325.11,322.34,324.56,16700
2023-08-15,324.56,326.78,323.45,325.34,16500
2023-08-16,325.34,327.23,324.56,326.45,17000
2023-08-17,326.45,328.56,325.34,327.34,16800
2023-08-18,327.34,329.11,326.45,328.23,17300
2023-08-19,328.23,330.78,327.34,329.34,17200
2023-08-20,329.34,331.56,328.23,330.45,16900
2023-08-21,330.45,332.89,329.34,331.23,16400
2023-08-22,331.23,333.56,330.45,332.34,17000
2023-08-23,332.34,334.78,331.23,333.45,16700
2023-08-24,333.45,335.11,332.34,334.56,17300
2023-08-25,334.56,336.78,333.45,335.34,17100
2023-08-26,335.34,337.23,334.56,336.45,16500
2023-08-27,336.45,338.56,335.34,337.34,16900
2023-08-28,337.34,339.11,336.45,338.23,17200
2023-08-29,338.23,340.78,337.34,339.34,16800
2023-08-30,339.34,341.56,338.23,340.45,16600
2023-08-31,340.45,342.89,339.34,341.23,17000
2023-09-01,341.23,343.11,340.45,342.34,17500
2023-09-02,342.34,344.78,341.23,343.45,17000
2023-09-03,343.45,345.56,342.34,344.56,17300
2023-09-04,344.56,346.78,343.45,345.34,16900
2023-09-05,345.34,347.11,344.56,346.45,16400
2023-09-06,346.45,348.56,345.34,347.34,16800
2023-09-07,347.34,349.78,346.23,348.45,17000
2023-09-08,348.45,350.11,347.34,349.23,17200
2023-09-09,349.23,351.56,348.45,350.34,16500
2023-09-10,350.34,352.78,349.23,351.45,16900
2023-09-11,351.45,353.11,350.34,352.34,17000
2023-09-12,352.34,354.56,351.45,353.45,16700
2023-09-13,353.45,355.78,352.34,354.56,17400
2023-09-14,354.56,356.23,353.45,355.34,17500
2023-09-15,355.34,357.11,354.56,356.45,16800
2023-09-16,356.45,358.78,355.34,357.34,17000
2023-09-17,357.34,359.11,356.45,358.23,17200
2023-09-18,358.23,360.56,357.34,359.34,16900
2023-09-19,359.34,361.78,358.23,360.45,16500
2023-09-20,360.45,362.11,359.34,361.23,17100
2023-09-21,361.23,363.89,360.45,362.34,16800
2023-09-22,362.34,364.56,361.23,363.45,16700
2023-09-23,363.45,365.11,362.34,364.56,17000
2023-09-24,364.56,366.78,363.45,365.34,17400
2023-09-25,365.34,367.11,364.56,366.45,17000
2023-09-26,366.45,368.78,365.34,367.34,16400
2023-09-27,367.34,369.56,366.23,368.45,17100
2023-09-28,368.45,370.11,367.34,369.23,17500
2023-09-29,369.23,371.78,368.45,370.34,17000
2023-09-30,370.34,372.56,369.23,371.45,16900
2023-10-01,371.45,373.11,370.34,372.34,17200
2023-10-02,372.34,374.78,371.23,373.45,17500
2023-10-03,373.45,375.56,372.34,374.56,16800
2023-10-04,374.56,376.11,373.45,375.34,17100
2023-10-05,375.34,377.78,374.56,376.45,17000
2023-10-06,376.45,378.11,375.34,377.34,16900
2023-10-07,377.34,379.56,376.45,378.23,17400
2023-10-08,378.23,380.78,377.34,379.34,17500
2023-10-09,379.34,381.56,378.23,380.45,16800
2023-10-10,380.45,382.11,379.34,381.23,17000
2023-10-11,381.23,383.78,380.34,382.34,17200
2023-10-12,382.34,384.56,381.45,383.45,16900
2023-10-13,383.45,385.11,382.34,384.56,16500
2023-10-14,384.56,386.78,383.45,385.34,17000
2023-10-15,385.34,387.11,384.56,386.45,17200
2023-10-16,386.45,388.78,385.34,387.34,16800
2023-10-17,387.34,389.56,386.45,388.23,16500
2023-10-18,388.23,390.11,387.34,389.34,17000
2023-10-19,389.34,391.78,388.23,390.45,17400
2023-10-20,390.45,392.11,389.34,391.23,17000
2023-10-21,391.23,393.56,390.34,392.34,16400
2023-10-22,392.34,394.78,391.23,393.45,17100
2023-10-23,393.45,395.11,392.34,394.56,16900
2023-10-24,394.56,396.89,393.45,395.34,16700
2023-10-25,395.34,397.23,394.56,396.45,17000
2023-10-26,396.45,398.78,395.34,397.34,17400
2023-10-27,397.34,399.56,396.45,398.23,17200
2023-10-28,398.23,400.11,397.34,399.34,17000
2023-10-29,399.34,401.78,398.23,400.45,16900
2023-10-30,400.45,402.11,399.34,401.23,17200
2023-10-31,401.23,403.56,400.34,402.34,17500
2023-11-01,402.34,404.78,401.23,403.45,16800
2023-11-02,403.45,405.11,402.34,404.56,17000
2023-11-03,404.56,406.78,403.45,405.34,16700
2023-11-04,405.34,407.23,404.56,406.45,16900
2023-11-05,406.45,408.56,405.34,407.34,17300
2023-11-06,407.34,409.78,406.45,408.23,17000
2023-11-07,408.23,410.11,407.34,409.34,17200
2023-11-08,409.34,411.56,408.23,410.45,16900
2023-11-09,410.45,412.89,409.34,411.23,16500
2023-11-10,411.23,413.11,410.45,412.34,17000
2023-11-11,412.34,414.78,411.23,413.45,17400
2023-11-12,413.45,415.11,412.34,414.56,17100
2023-11-13,414.56,416.89,413.45,415.34,16900
2023-11-14,415.34,417.23,414.56,416.45,16800
2023-11-15,416.45,418.56,415.34,417.34,16500
2023-11-16,417.34,419.78,416.45,418.23,17000
2023-11-17,418.23,420.11,417.34,419.34,17300
2023-11-18,419.34,421.56,418.23,420.45,16900
2023-11-19,420.45,422.78,419.34,421.23,16600
2023-11-20,421.23,423.11,420.45,422.34,16800
2023-11-21,422.34,424.78,421.23,423.45,17200
2023-11-22,423.45,425.11,422.34,424.56,17400
2023-11-23,424.56,426.89,423.45,425.34,17000
2023-11-24,425.34,427.23,424.56,426.45,17100
2023-11-25,426.45,428.56,425.34,427.34,16500
2023-11-26,427.34,429.78,426.45,428.23,17000
2023-11-27,428.23,430.11,427.34,429.34,17200
2023-11-28,429.34,431.56,428.23,430.45,16900
2023-11-29,430.45,432.89,429.34,431.23,16800
2023-11-30,431.23,433.11,430.45,432.34,17100
2023-12-01,432.34,434.78,431.23,433.45,17500
2023-12-02,433.45,435.11,432.34,434.56,17200
2023-12-03,434.56,436.89,433.45,435.34,17000
2023-12-04,435.34,437.23,434.56,436.45,16900
2023-12-05,436.45,438.56,435.34,437.34,16600
2023-12-06,437.34,439.78,436.45,438.23,17000
2023-12-07,438.23,440.11,437.34,439.34,17400
2023-12-08,439.34,441.56,438.23,440.45,17100
2023-12-09,440.45,442.89,439.34,441.23,16900
2023-12-10,441.23,443.11,440.45,442.34,16800
2023-12-11,442.34,444.78,441.23,443.45,17200
2023-12-12,443.45,445.11,442.34,444.56,17500
2023-12-13,444.56,446.89,443.45,445.34,17000
2023-12-14,445.34,447.23,444.56,446.45,16600
2023-12-15,446.45,448.56,445.34,447.34,16900
2023-12-16,447.34,449.78,446.45,448.23,17400
2023-12-17,448.23,450.11,447.34,449.34,17100
2023-12-18,449.34,451.56,448.23,450.45,16800
2023-12-19,450.45,452.89,449.34,451.23,17000
2023-12-20,451.23,453.11,450.45,452.34,17200
2023-12-21,452.34,454.78,451.23,453.45,16900
2023-12-22,453.45,455.11,452.34,454.56,16800
2023-12-23,454.56,456.89,453.45,455.34,17400
2023-12-24,455.34,457.23,454.56,456.45,17100
2023-12-25,456.45,458.56,455.34,457.34,16700
2023-12-26,457.34,459.78,456.45,458.23,17300
2023-12-27,458.23,460.11,457.34,459.34,17000
2023-12-28,459.34,461.56,458.23,460.45,16900
2023-12-29,460.45,462.89,459.34,461.23,17500
2023-12-30,461.23,463.11,460.45,462.34,17100
2023-12-31,462.34,464.78,461.23,463.45,17000
